Genome	DomestiCAT_Aruba-501 Length	DomestiCAT_Aruba-502 Length	DomestiCAT_Aruba-503 Length	DomestiCAT_Aruba-504 Length	DomestiCAT_Aruba-505 Length	DomestiCAT_Aruba-506 Length	DomestiCAT_Aruba-507 Length	DomestiCAT_Aruba-508 Length	DomestiCAT_Aruba-509 Length	DomestiCAT_Aruba-510 Length	DomestiCAT_Aruba-511 Length	DomestiCAT_Aruba-512 Length	DomestiCAT_Aruba-513 Length	DomestiCAT_Aruba-514 Length	DomestiCAT_Aruba-515 Length	DomestiCAT_Aruba-516 Length	DomestiCAT_Brazil-501 Length	DomestiCAT_Brazil-502 Length	DomestiCAT_Brazil-503 Length	DomestiCAT_Brazil-504 Length	DomestiCAT_Brazil-505 Length	DomestiCAT_Brazil-506 Length	DomestiCAT_Brazil-507 Length	DomestiCAT_Brazil-508 Length	DomestiCAT_Brazil-509 Length	DomestiCAT_Brazil-510 Length	DomestiCAT_Brazil-511 Length	DomestiCAT_Brazil-512 Length	DomestiCAT_Brazil-513 Length	DomestiCAT_Brazil-514 Length	DomestiCAT_Brazil-515 Length	DomestiCAT_Brazil-516 Length	DomestiCAT_CaboVerde-501 Length	DomestiCAT_CaboVerde-502 Length	DomestiCAT_CaboVerde-503 Length	DomestiCAT_CaboVerde-504 Length	DomestiCAT_CaboVerde-505 Length	DomestiCAT_CaboVerde-506 Length	DomestiCAT_CaboVerde-507 Length	DomestiCAT_CaboVerde-508 Length	DomestiCAT_CaboVerde-509 Length	DomestiCAT_CaboVerde-510 Length	DomestiCAT_CaboVerde-511 Length	DomestiCAT_CaboVerde-512 Length	DomestiCAT_CaboVerde-513 Length	DomestiCAT_CaboVerde-514 Length	DomestiCAT_CaboVerde-515 Length	DomestiCAT_Denmark_10 Length	DomestiCAT_Denmark_11 Length	DomestiCAT_Denmark_12 Length	DomestiCAT_Denmark_13 Length	DomestiCAT_Denmark_14 Length	DomestiCAT_Denmark_15 Length	DomestiCAT_Denmark_16 Length	DomestiCAT_Denmark_1 Length	DomestiCAT_Denmark_2 Length	DomestiCAT_Denmark_3 Length	DomestiCAT_Denmark_4 Length	DomestiCAT_Denmark_5 Length	DomestiCAT_Denmark_6 Length	DomestiCAT_Denmark_7 Length	DomestiCAT_Denmark_8 Length	DomestiCAT_Denmark_9 Length	DomestiCAT_Denmark_blank Length	DomestiCAT-Malaysia-501 Length	DomestiCAT-Malaysia-502 Length	DomestiCAT-Malaysia-503 Length	DomestiCAT-Malaysia-504 Length	DomestiCAT-Malaysia-505 Length	DomestiCAT-Malaysia-506 Length	DomestiCAT-Malaysia-507 Length	DomestiCAT-Malaysia-508 Length	DomestiCAT-Malaysia-509 Length	DomestiCAT-Malaysia-510 Length	DomestiCAT-Malaysia-511 Length	DomestiCAT-Malaysia-512 Length	DomestiCAT-Malaysia-513 Length	DomestiCAT-Malaysia-514 Length	DomestiCAT-Malaysia-515 Length	DomestiCAT-Malaysia-516 Length	DomestiCAT_Spain-501 Length	DomestiCAT_Spain-502 Length	DomestiCAT_Spain-503 Length	DomestiCAT_Spain-504 Length	DomestiCAT_Spain-505 Length	DomestiCAT_Spain-506 Length	DomestiCAT_Spain-507 Length	DomestiCAT_Spain-508 Length	DomestiCAT_Spain-509 Length	DomestiCAT_Spain-510 Length	DomestiCAT_Spain-511 Length	DomestiCAT_Spain-512 Length	DomestiCAT_Spain-513 Length	DomestiCAT_Spain-514 Length	DomestiCAT_Spain-515 Length	DomestiCAT_Spain-516 Length
bin_Malaysia.35	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705	1682705
bin_Denmark.118	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968	2568968
bin_Spain.67	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960	2130960
bin_Spain.6	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519	1976519
bin_Brazil.63	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317	2322317
bin_Malaysia.26	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914	2728914
bin_Brazil.61	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309	1560309
bin_Aruba.36	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769	1246769
bin_Brazil.68	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665	1582665
bin_Malaysia.78	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431	1703431
bin_Aruba.15	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648	1335648
bin_CaboVerde.14	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446	1552446
bin_Malaysia.81	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414	2528414
bin_Malaysia.96	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406	2043406
bin_Denmark.44	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227	1978227
bin_Malaysia.75	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527	1721527
bin_CaboVerde.24	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116	2226116
bin_Brazil.136	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941	2079941
bin_Brazil.168	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169	2323169
bin_Brazil.1	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537	2475537
bin_CaboVerde.38	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042	2567042
bin_Malaysia.70	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422	2238422
bin_Brazil.86	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018	1755018
bin_Malaysia.98	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220	1570220
bin_Malaysia.73	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394	2115394
bin_Malaysia.108	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255	2692255
bin_Malaysia.7	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508	1640508
bin_Brazil.8	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893	2080893
bin_Spain.21	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254	3198254
bin_Aruba.13	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138	2278138
bin_Brazil.124	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990	2495990
